name,description,category_id,price_1_day,price_2_days,price_3_days,price_4_days,price_5_days,price_6_days,price_7_days,price_14_days,price_30_days,deposit,image_url
KEOS KS-250,"Профессиональная установка алмазного бурения KEOS KS-250

Скорости: 1
Макс. обороты : 500 об/мин
Реверс: нет
Электронная регулировка числа оборотов: да
Поддержание постоянного количества оборотов: нет
Вес брутто: 13.07 кг
Наличие патрона : нет
Резьба шпинделя: 1/2 и 5/4″
Обороты (об/мин): 100-500
Макс. диаметр сверления (бетон/камень): 250 мм
Наклон стойки: нет
Тип: установка алмазного бурения
Встроенная подачи воды: да
Max диаметр корончатого сверла: 250 мм
Напряжение: 220 В
Мощность (Вт): 2800 Вт

*Алмазная коронка в стоимость аренды не входит и оплачивается дополнительно по 1мм расхода
При большом объеме работ рекомендуем купить коронку",1,2390,4302,5736,7648,9560,11472,10875,21749,39435,10000,
KEOS KS-130/2 (ручная),"Ручная установка алмазного бурения KEOS KS-130/2

Напряжение, В: 220
Мощность, Вт: 1900
Номинальная сила тока, А: 8
Частота, Гц: 50-60
Диапазон сверления, мм: 16-130
Крепление: М16 и переходник на 1/2″ и 1 1/4″ (резьба выходного вала) в комплекте
Класс защищенности: 1
Степень защиты: IP 20
Подавление помех: EN 55014 / EN 61000
Скорость: 2
Частота вращения, об/мин: 700-1200/1050-1750
Габариты (ДхШхВ), мм: 600х400х250
Масса: 5,7 кг

*Алмазная коронка в стоимость аренды не входит и оплачивается дополнительно по 1мм расхода
При большом объеме работ рекомендуем купить коронку",1,1690,3042,4056,5408,6760,8112,7690,15379,27885,8000,
KEOS PULSAR KS-180 (ручная),"Ручная установка алмазного бурения KEOS PULSAR KS-180

Мощность, кВт: 1,9
Диаметр сверления, мм: 160
Максимальные обороты, об/мин: 1700
Частота микроудара: 34000
Резьба шпинделя: 1/2, 1 1/4, М16
Крепление к стойке через проушину, мм: 60
Габариты в упаковке, см: 58x37x17
Вес, кг: 6",1,2190,3942,5256,7008,8760,10512,9965,19929,36135,8000,
Бензорез KEDASA К770,"Профессиональный бензорез KEDASA К770

Мощность (Вт): 3500
Мощность (л.с.): 4.8
Диаметр диска: 400 мм
Посадочный диаметр: 25.4 мм
Привод : бензиновый
Свеча зажигания: RCJ6Y/BPMR7A
Глубина резания: 150 мм
Вес нетто: 10.3 кг
Емкость топливного бака: 1 л
Частота вращения шпинделя: 2700 об/мин
Тактность двигателя: 2-х тактный

*Топливо в стоимость аренды не входит. Заправка только нашей топливной смесью.
**Алмазный диск в стоимость аренды не входит и оплачивается дополнительно по 1мм расхода.
При большом объеме работ рекомендуем купить диск.",2,4190,7542,10056,13408,16760,20112,19065,38129,69135,20000,
Бензорез Husqvarna K 970 II/16,"Бензорез Husqvarna профессиональный

Высота сегмента, мм: 10
Звуковое давление возле уха оператора, дБ(А): 104
Максимальная глубина резания, мм: 125/145 / 5/6
Максимальный диаметр режущего диска (диаметр алмазного кольца): 400
Масса (без режущего оборудования), кг: 10,9
Мощность двигателя, кВт: 4,8
Номинальный ток, А: 12
Обороты холостого хода, об./мин: 2700
Объем топливного бака, л: 1.0
Рабочий объем цилиндра, см3: 93,6
Тип двигателя: Бензиновый двухтактный
Максимальная глубина резания, мм: 145
Мощность двигателя, кВт: 4.8
Тип двигателя: Бензиновый
Вес брутто, кг: 15

*Топливо в стоимость аренды не входит. Заправка только нашей топливной смесью.
**Алмазный диск в стоимость аренды не входит и оплачивается дополнительно по 1мм расхода.
При большом объеме работ рекомендуем купить диск.",2,5190,9342,12456,16608,20760,24912,23615,47229,85635,20000,
Wacker Neuson МР-12 (64 кг),"Виброплита 64 кг Wacker Neuson МР-12

Тип двигателя: бензиновый
Двигатель (производитель): Loncin
Модель двигателя: Loncin G210F
Мощность: 5,98 л.с.
Сфера применения: грунт, песок, асфальт, щебень
Реверс: нет
Размер плиты: 350х521 мм
Сила удара: 12 кН
Глубина уплотнения: 120 мм
Топливный бак: 3,6 л
Расход топлива: 1 л/ч
Бак для воды: опция
Скорость: 25 м/мин
Производительность: 550 м2/ч
Вес: 64 кг

*Топливо в стоимость аренды не входит",3,1390,2502,3336,4448,5560,6672,6325,12649,22935,5000,
Wacker Neuson МР15 (85кг),"Виброплита 85 кг Wacker Neuson МР15

Центробежная сила: 15 kN
Размер опорной плиты (ШхД): 588х500 мм
Рабочие габариты ДхШхВ: 995х500х965 мм
Скорость перемещения (зависит от грунта и окружающей среды): 23 м/мин
Производительность (зависит от грунта и окружающей среды): 686 м/ч
Максимальный подъем: 30%
Емкость бака для воды: 7,3 л
Рабочая масса: 83 кг

Дополнительно вы можете взять коврик для тротуарной плитки
*Топливо в стоимость аренды не входит",3,1590,2862,3816,5088,6360,7632,7235,14469,26235,5000,
Сплитстоун VS-246 Е20 (160 кг),"Виброплита 160 кг Сплитстоун VS-246 Е20

Сила удара: 30 кН
Ширина рабочей плиты: 0,45 м
Глубина уплотнения за 4 прохода: 0,3 м
Уплотнение: 98%
Вид топлива: Бензин АИ-92
Ёмкость топливного бака: 3,1 л
Расход топлива: 1,7 л/ч
Размеры рабочие: Д 1180 мм x Ш 450 мм x В 1060 мм
Масса эксплуатационная без воды: 160 кг
Масса с водой: 170 кг

*Топливо в стоимость аренды не входит",3,2990,5382,7176,9568,11960,14352,13605,27209,49335,10000,
Masterpac PCR6037H (275 кг),"Виброплита 275 кг Masterpac PCR6037H

Тип двигателя: Бензиновый
Двигатель: Honda GX270
Мощность: 6.3 кВт
Мощность: 8.6 л.с.
Центробежная сила: 37 кН
Частота вибрации: 69 Гц
Скорость перемещения: 20-24 м/мин
Размер плиты (Ш×Д): 600×800 мм
Реверс: Есть
Габариты (Д×Ш×В): 1440×600×1035 мм
Ручка: Обычная
Вес: 275 кг",3,5490,9882,13176,17568,21960,26352,24980,49959,90585,70000,
Masterpac PCR6550H (340 кг),"Виброплита 340 кг Masterpac PCR6550H

Тип двигателя: Бензиновый
Двигатель: Honda GX390
Мощность: 8.7 кВт
Мощность: 11.8 л.с.
Центробежная сила: 50 кН
Частота вибрации: 69 Гц
Скорость перемещения: 20-25 м/мин
Размер плиты (Ш×Д): 650×900 мм
Реверс: Есть
Габариты (Д×Ш×В): 1540×655×1047 мм
Ручка: Обычная
Вес: 340 кг",3,7490,13482,17976,23968,29960,35952,34080,68159,123585,80000,
